Name,Location_x,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,CP,Adresse,Award2,CLASSEMENT,NOM COMMERCIAL,ADRESSE,Location_y,TELEPHONE,COURRIEL,SITE INTERNET,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,coordonnees,Nom du département,Nom de la région,CLASSEMENT2,tarif_hotel
Pierre Gagnaire,Paris,120,400,Creative,2.3003862,48.8732506,33158361250.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pierre-gagnaire6112,https://pierregagnaire.com/restaurants/pierre_gagnaire,3 MICHELIN Stars,75008,6 rue Balzac,3.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,192
Flocons de Sel,Megève,230,310,Creative,6.60007,45.82354,33450214999.0,https://guide.michelin.com/en/auvergne-rhone-alpes/megve/restaurant/flocons-de-sel,https://www.floconsdesel.com/fr/,3 MICHELIN Stars,74120,"1775 route du Leutaz, Le Leutaz",3.0,2 étoiles,HÔTEL LE GAI SOLEIL,343 rue du crêt du midi,Megève,0450210070,info@le-gai-soleil.fr,http://www.le-gai-soleil.fr,50.0,21.0,"45.853119,6.612748",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,2,125
Le Clos des Sens,Annecy,148,238,Creative,6.1442973,45.9180547,33450230790.0,https://guide.michelin.com/en/auvergne-rhone-alpes/annecy/restaurant/le-clos-des-sens,https://www.closdessens.com/,3 MICHELIN Stars,74940,13 rue Jean-Mermoz - à Annecy-le-Vieux,3.0,3 étoiles,ENCORE HÔTEL,61 rue centrale 59 rue centrale,Annecy-le-vieux,0450232926,contact@encorehotel.fr,www.encorehotel.fr,121.0,58.0,"45.906403,6.155229",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,3,179
L'Oustau de Baumanière,Les baux-de-provence,175,310,Creative,4.7873628,43.7402659,33490543307.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/les-baux-de-provence/restaurant/l-oustau-de-baumaniere,https://www.baumaniere.com/,3 MICHELIN Stars,13520,Mas de Baumanière,3.0,2 étoiles,HOSTELLERIE LA REINE JEANNE,Grand rue,Les baux-de-provence,0490543206,marc.braglia@wanadoo.fr,www.la-reinejeanne.com,14.0,6.0,"43.743732,4.794938",BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,2,106
La Vague d'Or - Cheval Blanc St-Tropez,Saint-tropez,330,395,"Creative, Modern Cuisine",6.6261535,43.2665849,33494559100.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-tropez/restaurant/la-vague-d-or-cheval-blanc-st-tropez,https://www.chevalblanc.com/en/,3 MICHELIN Stars,83990,Plage de la Bouillabaisse,3.0,3 étoiles,HÔTEL LES PALMIERS,34 BOULEVARD VASSEROT,Saint-tropez,0494970161,info@hotel-les-palmiers.com,www.hotel-les-palmiers.com,50.0,25.0,"43.269693,6.63966",VAR,PROVENCE-ALPES-COTE D'AZUR,3,167
Christophe Bacquié,Le castellet,260,295,Modern Cuisine,5.7835029,43.2502823,33494982969.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/le-castellet/restaurant/christophe-bacquie,https://www.hotelducastellet.net/fr/restaurants/restaurant-christophe-bacquie.html,3 MICHELIN Stars,83330,"3001 route des Hauts-du-Camp, au Circuit Paul Ricard",3.0,2 étoiles,HÔTEL LA CAUQUIÈRE,7 rue chanoine boeuf,Le beausset,0494749815,olivier.lozach@sfr.fr,www.lacauquiere.fr,23.0,10.0,"43.196924,5.800719",VAR,PROVENCE-ALPES-COTE D'AZUR,2,142
Assiette Champenoise,Reims,145,355,Creative,4.0040608,49.2476571,33326846464.0,https://guide.michelin.com/en/grand-est/reims/restaurant/assiette-champenoise,https://www.assiettechampenoise.com/,3 MICHELIN Stars,51430,"40 avenue Paul-Vaillant-Couturier, à Tinqueux",3.0,2 étoiles,HÔTEL B&B REIMS BEZANNES,rue henri moissan,Bezannes,0892702058,bb4526@hotelbb.com,http://www.hotel-bb.com/,188.0,91.0,"49.217113,3.995772",MARNE,GRAND EST,2,136
La Villa Madie,Cassis,160,280,"Creative, Mediterranean Cuisine",5.544944,43.2110889,33496180000.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/cassis/restaurant/la-villa-madie,https://lavillamadie.com/,3 MICHELIN Stars,13260,Avenue du Revestel,3.0,3 étoiles,HÔTEL DE LA PLAGE MAHOGANY,19 avenue de l'Amiral Canteaume,Cassis,0442010570,info@hotelmahogany.com,http://hotelmahogany.com,75.0,30.0,"43.213612,5.531931",BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,3,179
Le 1947 à Cheval Blanc,Courchevel,355,395,"Creative, Modern Cuisine",6.6338696,45.4094877,33479005050.0,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/le-1947,https://www.chevalblanc.com/fr/maison/courchevel/,3 MICHELIN Stars,73120,"Le Jardin Alpin, Courchevel 1850",3.0,4 étoiles,RÉSIDENCE PIERRE ET VACANCES PREMIUM LES CHALETS DU FORUM,1 RUE DU PLANTRET,Courchevel,0479009000,coc@fr.groupepvcp.com,www.pierreetvacances.com,388.0,,"45.415336,6.631848",SAVOIE,AUVERGNE-RHONE-ALPES,4,339
Georges Blanc,Vonnas,280,345,Classic Cuisine,4.989383,46.219982,33474509090.0,https://guide.michelin.com/en/auvergne-rhone-alpes/vonnas/restaurant/georges-blanc,https://www.georgesblanc.com/fr/,3 MICHELIN Stars,1540,Place du Marché,3.0,4 étoiles,HÔTEL DU BOIS BLANC,Rue Claude Morel,Vonnas,0474509090,reservation@georgesblanc.com,www.georgesblanc.com,40.0,18.0,"46.219523,4.990887",AIN,AUVERGNE-RHONE-ALPES,4,455
Régis et Jacques Marcon,Saint-bonnet-le-froid,190,250,Creative,4.4342679,45.1386734,33471599372.0,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-bonnet-le-froid/restaurant/regis-et-jacques-marcon,https://www.lesmaisonsmarcon.fr/,3 MICHELIN Stars,43290,Larsiallas,3.0,3 étoiles,HÔTEL LA DÉCOUVERTE,2 Rue du Fanget,Saint-bonnet-le-froid,0471599372,contact@regismarcon.fr,http://www.regismarcon.fr/,36.0,18.0,"45.140388,4.436934",HAUTE-LOIRE,AUVERGNE-RHONE-ALPES,3,180
AM par Alexandre Mazzia,Marseille,175,395,Creative,5.3862325,43.2701104,33491248363.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia,https://www.alexandre-mazzia.com/,3 MICHELIN Stars,13008,9 rue François-Rocca,3.0,4 étoiles,HÔTEL AC BY MARRIOTT MARSEILLE VELODROME,4 allée Marcel Leclerc,Marseille,0465656500,contact@ac-marriott.com,http://www.marriott.fr/hotels/travel/mrsar-ac-hotel-marseille-velodrome/,252.0,126.0,"43.268521,5.394397",BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,4,305
Mirazur,Menton,380,380,Creative,7.5281451,43.7860241,33492418686.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/menton/restaurant/mirazur,https://www.mirazur.fr/,3 MICHELIN Stars,6500,30 avenue Aristide-Briand,3.0,3 étoiles,HÔTEL DE LONDRES,15 avenue carnot,Menton,0493357462,hotel-de-londres@wanadoo.fr,http://www.hotel-de-londres.com,59.0,27.0,"43.771611,7.49578",ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR,3,274
Auberge du Vieux Puits,Fontjoncouse,205,235,Creative,2.7893292,43.0481728,33468440737.0,https://guide.michelin.com/en/occitanie/fontjoncouse/restaurant/auberge-du-vieux-puits,https://www.aubergeduvieuxpuits.fr/fr/,3 MICHELIN Stars,11360,5 avenue Saint-Victor,3.0,4 étoiles,AUBERGE DU VIEUX PUITS,5 avenue saint-victor,Fontjoncouse,0468440737,reception@aubergeduvieuxpuits.fr,www.aubergeduvieuxpuits.fr,24.0,8.0,"43.047741,2.78983",AUDE,OCCITANIE,4,478
L'Ambroisie,Paris,365,365,Classic Cuisine,2.3645215,48.855494,33142785145.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-ambroisie,https://www.ambroisie-paris.com/,3 MICHELIN Stars,75004,9 place des Vosges,3.0,4 étoiles,HÔTEL GORALSKA PARIS BASTILLE,7 BOULEVARD BOURDON,Paris,0142723333,reservation@goralskaresidences.com,www.goralskaresidences.com,36.0,12.0,"48.848286,2.365895",PARIS,ILE-DE-FRANCE,4,648
Guy Savoy,Paris,250,570,Creative,2.3391955,48.8566248,33143804061.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/guy-savoy,https://www.guysavoy.com/,3 MICHELIN Stars,75006,11 quai de Conti,3.0,3 étoiles,HÔTEL MAYET,3 rue mayet,Paris,0147832135,hotel@mayet.com,www.mayet.com,46.0,23.0,"48.84713,2.318561",PARIS,ILE-DE-FRANCE,3,185
René et Maxime Meilleur,Saint-martin-de-belleville,239,389,"Creative, Regional Cuisine",6.5133065,45.3690463,33479089677.0,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-martin-de-belleville/restaurant/rene-et-maxime-meilleur,https://www.la-bouitte.com/fr/,3 MICHELIN Stars,73440,Hameau de  Saint-Marcel,3.0,3 étoiles,RESIDENCE PIERRE ET VACANCES LE TIKAL,Rue du Soleil,Saint-martin-de-belleville,0479093030,bjbe@fr.groupepvcp.com,http://www.pierreetvacances.com,340.0,,"45.315031,6.540263",SAVOIE,AUVERGNE-RHONE-ALPES,3,237
Le Petit Nice,Marseille,180,430,Seafood,5.3521929,43.2803346,33491592592.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,https://www.passedat.fr/en/5-star-boutique-hotel-restaurant-marseille,3 MICHELIN Stars,13007,Anse de Maldormé,3.0,4 étoiles,NEWHOTEL BOMPARD,2 rue des flots Bleus,Marseille,0491992222,marseillebompard@new-hotel.com,http://www.new-hotel.com/fr/hotels-marseille/bompard#,100.0,50.0,"43.281152,5.359345",BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,4,782
Les Prés d'Eugénie - Michel Guérard,Eugénie-les-bains,275,310,Classic Cuisine,-0.3797229,43.696604,33558050607.0,https://guide.michelin.com/en/nouvelle-aquitaine/eugnie-les-bains/restaurant/les-pres-d-eugenie-michel-guerard,https://lespresdeugenie.com/,3 MICHELIN Stars,40320,Place de l'Impératrice,3.0,3 étoiles,LA MAISON ROSE,Avenue des Thermes,Eugénie-les-bains,0558050607,reservation@michelguerard.com,http://www.chainethermale.fr/hotel-restaurant-la-maison-rose.html,62.0,31.0,"43.697805,-0.3783",LANDES,NOUVELLE-AQUITAINE,3,155
La Table de Pavie,Saint-emilion,80,220,"Modern Cuisine, Creative",-0.1567502,44.8935395,33557550755.0,https://guide.michelin.com/en/nouvelle-aquitaine/saint-milion/restaurant/la-table-de-pavie,https://hoteldepavie.com/,2 MICHELIN Stars,33330,5 place du Clocher,2.0,3 étoiles,HÔTEL AU LOGIS DES REMPARTS,18/22 rue Guadet,Saint-émilion,0557247043,contact@logisdesremparts.com,http://www.logisdesremparts.com,45.0,20.0,"44.894046,-0.155055",GIRONDE,NOUVELLE-AQUITAINE,3,284
William Frachot,Dijon,65,182,Creative,5.0356396,47.3212722,33380508888.0,https://guide.michelin.com/en/bourgogne-franche-comte/dijon/restaurant/william-frachot,https://www.chapeau-rouge.fr/fr/restaurant-gastronomique-dijon,2 MICHELIN Stars,21000,"Hostellerie du Chapeau Rouge, 5 rue Michelet",2.0,4 étoiles,HÔTEL RÉSIDENCE DU PRÉ AUX CLERCS,3 rue du Palais,Dijon,0380380505,contact@jeanpierrebilloux.com,http://www.jeanpierrebilloux.com,12.0,5.0,"47.320714,5.041613",COTE-D'OR,BOURGOGNE-FRANCHE-COMTE,4,625
Duende,Nîmes,180,225,Modern Cuisine,4.3527079,43.8388191,33466219434.0,https://guide.michelin.com/en/occitanie/nimes/restaurant/duende,https://www.maison-albar-hotels-l-imperator.com/,2 MICHELIN Stars,30900,Quai de la Fontaine,2.0,4 étoiles,HÔTEL C SUITES,152 rue Claude Nicolas Ledoux,Nîmes,04 66 70 68 25,contact@c-suites.fr,http://www.c-suites.fr/,197.0,83.0,"43.815129,4.347001",GARD,OCCITANIE,4,749
La Scène,Paris,135,335,Modern Cuisine,2.3143813,48.8720257,33142650561.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/la-scene,https://www.la-scene.paris/,2 MICHELIN Stars,75008,32 avenue Matignon,2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,218
Palais Royal Restaurant,Paris,110,225,"Creative, Modern Cuisine",2.3390068,48.865799,33140200027.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/restaurant-du-palais-royal,https://palaisroyalrestaurant.com/,2 MICHELIN Stars,75001,110 Galerie de Valois,2.0,3 étoiles,HÔTEL LOUVRE BONS ENFANTS,5 rue des bons enfants,Paris,0142614731,info@hotellouvrebonsenfants.com,www.hotellouvrebonsenfants.com,61.0,33.0,"48.862801,2.338203",PARIS,ILE-DE-FRANCE,3,298
Le Clarence,Paris,110,320,Modern Cuisine,2.3098922,48.8675042,33182821010.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-clarence,https://www.le-clarence.paris/,2 MICHELIN Stars,75008,31 avenue Franklin-D.-Roosevelt,2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,162
Restaurant Le Meurice Alain Ducasse,Paris,280,340,Creative,2.3278399,48.86525,33144581055.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-meurice-alain-ducasse,https://www.alainducasse-meurice.com/fr,2 MICHELIN Stars,75001,"Le Meurice, 228 rue de Rivoli",2.0,3 étoiles,HÔTEL LOUVRE BONS ENFANTS,5 rue des bons enfants,Paris,0142614731,info@hotellouvrebonsenfants.com,www.hotellouvrebonsenfants.com,61.0,33.0,"48.862801,2.338203",PARIS,ILE-DE-FRANCE,3,161
Le Gabriel - La Réserve Paris,Paris,88,238,Creative,2.3132078,48.8697309,33158366050.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-gabriel476630,https://www.lareserve-paris.com/,2 MICHELIN Stars,75008,"La Réserve Paris, 42 avenue Gabriel",2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,280
Le Taillevent,Paris,90,275,Classic Cuisine,2.3024829,48.874195,33144951501.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-taillevent,https://letaillevent.com/,2 MICHELIN Stars,75008,15 rue Lamennais,2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,281
David Toutain,Paris,130,280,"Creative, Modern Cuisine",2.3097038,48.8602663,33145501110.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/david-toutain,https://www.davidtoutain.com/,2 MICHELIN Stars,75007,29 rue Surcouf,2.0,4 étoiles,HÔTEL DUC DE SAINT SIMON,14 RUE DE SAINT SIMON,Paris,0144392020,hotelsaintsimon@wanadoo.fr,http://hotelducdesaintsimon.com/fr/,72.0,34.0,"48.856043,2.323658",PARIS,ILE-DE-FRANCE,4,594
L'Abysse au Pavillon Ledoyen,Paris,98,320,"Japanese, Creative",2.3164988,48.8662069,33153051030.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-abysse-au-pavillon-ledoyen,https://www.yannick-alleno.com/fr/,2 MICHELIN Stars,75008,8 avenue Dutuit,2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,254
La Fourchette des Ducs,Obernai,155,245,Creative,7.4882994,48.4621258,33388483338.0,https://guide.michelin.com/en/grand-est/obernai/restaurant/la-fourchette-des-ducs,http://www.lafourchettedesducs.com/fr/,2 MICHELIN Stars,67210,6 rue de la Gare,2.0,3 étoiles,VVF LES GÉRANIUMS,2 RUE DE BERLIN,Obernai,0388494545,obernai@vvfvillages.fr,vvfvillages.fr,303.0,,"48.464743,7.467898",BAS-RHIN,GRAND EST,3,283
Maison Rostang,Paris,90,203,Classic Cuisine,2.2985338,48.8813365,33147634077.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/maison-rostang,https://www.maisonrostang.com/,2 MICHELIN Stars,75017,20 rue Rennequin,2.0,3 étoiles,HÔTEL MIRIFIC,119 Avenue de Clichy,Paris,0146272804,mirific@paris17hotel.com,www.hotelmirificparis.com,146.0,65.0,"48.889902,2.321115",PARIS,ILE-DE-FRANCE,3,203
Yoann Conte,Veyrier-du-lac,210,350,Creative,6.1721665,45.8890126,33450099749.0,https://guide.michelin.com/en/auvergne-rhone-alpes/veyrier-du-lac/restaurant/yoann-conte,https://www.yoann-conte.com/,2 MICHELIN Stars,74290,13 Vieille-Route-des-Pensières,2.0,2 étoiles,CAMPING L'HORIZON,"754 le Thoron, les granges",Talloires,0450607871,info@camping-horizon.fr,www.camping-horizon.fr,,,"45.84542,6.215209",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,2,134
Casadelmar,Porto-vecchio,190,270,Modern Cuisine,9.3099771,41.5948102,33495723434.0,https://guide.michelin.com/en/corse/porto-vecchio/restaurant/casadelmar,https://www.casadelmar.fr/fr/,2 MICHELIN Stars,20137,7 km par route de la plage de Palombaggia,2.0,3 étoiles,CAMPING LES JARDINS DU GOLFE,Route de Palombaggia,Porto-vecchio,0495704692,info@camping-jardinsdugolfe.fr,http://www.camping-jardinsdugolfe.fr,,,"41.585799,9.306243",CORSE-DU-SUD,CORSE,3,265
Table - Bruno Verjus,Paris,240,360,Modern Cuisine,2.3759654,48.8486151,33143431226.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/table-bruno-verjus,https://table.paris/,2 MICHELIN Stars,75012,3 rue de Prague,2.0,3 étoiles,HÔTEL DES TROIS GARES,1 rue Jules César,Paris,0143430170,h3gares@yahoo.fr,http://www.h3gparis.com,61.0,34.0,"48.84887,2.368366",PARIS,ILE-DE-FRANCE,3,276
Le Pré - Xavier Beaudiment,Clermont-ferrand,45,180,Creative,3.0519431,45.7886787,33473192500.0,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/le-pre-xavier-beaudiment,https://www.restaurant-lepre.com/,2 MICHELIN Stars,63000,Route de la Baraque,2.0,2 étoiles,HÔTEL LUNE ÉTOILE,89 boulevard gustave flaubert,Clermont-ferrand,0473986868,contact@hotel-lune-etoile.com,http://www.hotel-lune-etoile.com/,96.0,45.0,"45.767566,3.125043",PUY-DE-DOME,AUVERGNE-RHONE-ALPES,2,145
La Chèvre d'Or,Èze,145,290,Creative,7.3620885,43.727378,33492106661.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/ze/restaurant/la-chevre-d-or,https://www.chevredor.com/,2 MICHELIN Stars,6360,Rue du Barri,2.0,5 étoiles,CHÂTEAU EZA,RUE LA PISE,Èze,0493411224,roodunt@chateaueza.com,http://www.chateaueza.com,29.0,14.0,"43.727722,7.361331",ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR,5,1126
Le Grand Restaurant - Jean-François Piège,Paris,166,466,Creative,2.3193146,48.8701983,33153050000.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-grand-restaurant-jean-francois-piege,https://xn--jeanfranoispiege-jpb.com/,2 MICHELIN Stars,75008,7 rue d'Aguesseau,2.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,222
La Côte d'Or,Saulieu,120,270,Modern Cuisine,4.2321852,47.2797873,33380905353.0,https://guide.michelin.com/en/bourgogne-franche-comte/saulieu/restaurant/la-cote-d-or,https://www.bernard-loiseau.com/,2 MICHELIN Stars,21210,"Le Relais Bernard Loiseau, 2 avenue Bernard-Loiseau",2.0,2 étoiles,HÔTEL RESTAURANT DE LA POSTE,1 rue Grillot,Saulieu,03 80 64 05 67,hotellaposte@orange.fr,http://www.hotel-saulieu.com/index.html,80.0,37.0,"47.279428,4.232227",COTE-D'OR,BOURGOGNE-FRANCHE-COMTE,2,104
Le Skiff Club,Pyla-sur-mer,195,245,Modern Cuisine,-1.2068742,44.6063706,33556220606.0,https://guide.michelin.com/en/nouvelle-aquitaine/pyla-sur-mer/restaurant/le-skiff-club,https://haaitza.com/,2 MICHELIN Stars,33115,1 avenue Louis-Gaume,2.0,4 étoiles,CAMPING LE PETIT NICE,ROUTE DE BISCARROSSE,Pyla-sur-mer,0556227403,petit-nice@franceloc.fr,www.franceloc.fr,,,"44.57032,-1.225802",GIRONDE,NOUVELLE-AQUITAINE,4,665
L'Oiseau Blanc,Paris,95,225,Modern Cuisine,2.29328,48.87099,33158126730.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-oiseau-blanc,https://www.peninsula.com/fr/paris/hotel-fine-dining/french-rooftop-loiseau-blanc,2 MICHELIN Stars,75116,19 avenue Kléber,2.0,5 étoiles,HÔTEL RAPHAËL,17 Avenue KLéBER,Paris,0153643200,reservation@raphael-hotel.com,http://www.leshotelsbaverez.com/fr/raphael/,166.0,83.0,"48.865643,2.288865",PARIS,ILE-DE-FRANCE,5,967
